Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
VAST,2010,Diamonds in the rough: Social media visual analytics for journalistic inquiry,10.1109/vast.2010.5652922,http://dx.doi.org/10.1109/VAST.2010.5652922,115.0,122.0,C,"Journalists increasingly turn to social media sources such as Facebook or Twitter to support their coverage of various news events. For large-scale events such as televised debates and speeches, the amount of content on social media can easily become overwhelming, yet still contain information that may aid and augment reporting via individual content items as well as via aggregate information from the crowd's response. In this work we present a visual analytic tool, Vox Civitas, designed to help journalists and media professionals extract news value from large-scale aggregations of social media content around broadcast events. We discuss the design of the tool, present the text analysis techniques used to enable the presentation, and provide details on the visual and interaction design. We provide an exploratory evaluation based on a user study in which journalists interacted with the system to explore and report on a dataset of over one hundred thousand twitter messages collected during the U.S. State of the Union presidential address in 2010.",Nicholas Diakopoulos;Mor Naaman;Funda Kivran-Swaine,Nicholas Diakopoulos;Mor Naaman;Funda Kivran-Swaine,"School of Communication and Information, Rutgers University, USA;School of Communication and Information, Rutgers University, USA;School of Communication and Information, Rutgers University, USA",10.1109/vast.2009.5333437;10.1109/vast.2009.5333443;10.1109/vast.2009.5333878;10.1109/vast.2008.4677364;10.1109/vast.2009.5333437,"Computational Journalism, Computer Assisted Reporting, Social Media, Sensemaking",312.0,138.0,27.0,2601.0,,
VAST,2012,Semantic Interaction for Sensemaking: Inferring Analytical Reasoning for Model Steering,10.1109/tvcg.2012.260,http://dx.doi.org/10.1109/TVCG.2012.260,2879.0,2888.0,J,"Visual analytic tools aim to support the cognitively demanding task of sensemaking. Their success often depends on the ability to leverage capabilities of mathematical models, visualization, and human intuition through flexible, usable, and expressive interactions. Spatially clustering data is one effective metaphor for users to explore similarity and relationships between information, adjusting the weighting of dimensions or characteristics of the dataset to observe the change in the spatial layout. Semantic interaction is an approach to user interaction in such spatializations that couples these parametric modifications of the clustering model with users' analytic operations on the data (e.g., direct document movement in the spatialization, highlighting text, search, etc.). In this paper, we present results of a user study exploring the ability of semantic interaction in a visual analytic prototype, ForceSPIRE, to support sensemaking. We found that semantic interaction captures the analytical reasoning of the user through keyword weighting, and aids the user in co-creating a spatialization based on the user's reasoning and intuition.",Alex Endert;Patrick Fiaux;Chris North 0001,Alex Endert;Patrick Fiaux;Chris North,"Virginia Polytechnic Institute and State University, USA;Virginia Polytechnic Institute and State University, USA;Virginia Polytechnic Institute and State University, USA",10.1109/infvis.1995.528686;10.1109/vast.2012.6400559;10.1109/vast.2011.6102449;10.1109/vast.2011.6102438;10.1109/vast.2007.4389006;10.1109/infvis.1995.528686,"User Interaction, visualization, sensemaking, analytic reasoning, visual analytics",163.0,102.0,36.0,1455.0,,
InfoVis,2015,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice's Information Visualization Sensemaking,10.1109/tvcg.2015.2467195,http://dx.doi.org/10.1109/TVCG.2015.2467195,499.0,508.0,J,"In this paper, we would like to investigate how people make sense of unfamiliar information visualizations. In order to achieve the research goal, we conducted a qualitative study by observing 13 participants when they endeavored to make sense of three unfamiliar visualizations (i.e., a parallel-coordinates plot, a chord diagram, and a treemap) that they encountered for the first time. We collected data including audio/video record of think-aloud sessions and semi-structured interview; and analyzed the data using the grounded theory method. The primary result of this study is a grounded model of NOvice's information VIsualization Sensemaking (NOVIS model), which consists of the five major cognitive activities: 1 encountering visualization, 2 constructing a frame, 3 exploring visualization, 4 questioning the frame, and 5 floundering on visualization. We introduce the NOVIS model by explaining the five activities with representative quotes from our participants. We also explore the dynamics in the model. Lastly, we compare with other existing models and share further research directions that arose from our observations.",Sukwon Lee;Sung-Hee Kim;Ya-Hsin Hung;Heidi Lam;Youn-Ah Kang;Ji Soo Yi,Sukwon Lee;Sung-Hee Kim;Ya-Hsin Hung;Heidi Lam;Youn-Ah Kang;Ji Soo Yi,"School of Industrial Engineering, Purdue University, West Lafayette, IN, USA;Department of Computer Science, University of British Columbia, Vancouver, BC, Canada;School of Industrial Engineering, Purdue University, West Lafayette, IN, USA;Google Inc., Mountain View, CA, USA;Techno-Art Division, Yonsei University, Incheon, South Korea;School of Industrial Engineering, Purdue University, West Lafayette, IN, USA",10.1109/tvcg.2013.234;10.1109/tvcg.2014.2346984;10.1109/tvcg.2010.164;10.1109/vast.2011.6102435;10.1109/tvcg.2014.2346452;10.1109/tvcg.2010.177;10.1109/tvcg.2014.2346481;10.1109/tvcg.2010.179;10.1109/tvcg.2007.70515;10.1109/tvcg.2013.234,"Sensemaking model, information visualization, novice users, grounded theory, qualitative study",147.0,91.0,48.0,4623.0,,
VAST,2014,Supporting Communication and Coordination in Collaborative Sensemaking,10.1109/tvcg.2014.2346573,http://dx.doi.org/10.1109/TVCG.2014.2346573,1633.0,1642.0,J,"When people work together to analyze a data set, they need to organize their findings, hypotheses, and evidence, share that information with their collaborators, and coordinate activities amongst team members. Sharing externalizations (recorded information such as notes) could increase awareness and assist with team communication and coordination. However, we currently know little about how to provide tool support for this sort of sharing. We explore how linked common work (LCW) can be employed within a `collaborative thinking space', to facilitate synchronous collaborative sensemaking activities in Visual Analytics (VA). Collaborative thinking spaces provide an environment for analysts to record, organize, share and connect externalizations. Our tool, CLIP, extends earlier thinking spaces by integrating LCW features that reveal relationships between collaborators' findings. We conducted a user study comparing CLIP to a baseline version without LCW. Results demonstrated that LCW significantly improved analytic outcomes at a collaborative intelligence task. Groups using CLIP were also able to more effectively coordinate their work, and held more discussion of their findings and hypotheses. LCW enabled them to maintain awareness of each other's activities and findings and link those findings to their own work, preventing disruptive oral awareness notifications.",Narges Mahyar;Melanie Tory,Narges Mahyar;Melanie Tory,University of Victoria;University of Victoria,10.1109/vast.2009.5333245;10.1109/vast.2006.261439;10.1109/vast.2008.4677358;10.1109/tvcg.2013.197;10.1109/vast.2011.6102438;10.1109/vast.2009.5333878;10.1109/vast.2006.261430;10.1109/vast.2007.4389011;10.1109/vast.2007.4389006;10.1109/vast.2011.6102447;10.1109/vast.2009.5333245,"Sensemaking, Collaboration, Externalization, Linked common work, Collaborative thinking space",109.0,77.0,43.0,2803.0,BP,
VAST,2014,Multi-Model Semantic Interaction for Text Analytics,10.1109/vast.2014.7042492,http://dx.doi.org/10.1109/VAST.2014.7042492,163.0,172.0,C,"Semantic interaction offers an intuitive communication mechanism between human users and complex statistical models. By shielding the users from manipulating model parameters, they focus instead on directly manipulating the spatialization, thus remaining in their cognitive zone. However, this technique is not inherently scalable past hundreds of text documents. To remedy this, we present the concept of multi-model semantic interaction, where semantic interactions can be used to steer multiple models at multiple levels of data scale, enabling users to tackle larger data problems. We also present an updated visualization pipeline model for generalized multi-model semantic interaction. To demonstrate multi-model semantic interaction, we introduce StarSPIRE, a visual text analytics prototype that transforms user interactions on documents into both small-scale display layout updates as well as large-scale relevancy-based document selection.",Lauren Bradel;Chris North 0001;Leanna House;Scotland Leman,Lauren Bradel;Chris North;Leanna House;Scotland Leman,Virginia Tech;Virginia Tech;Virginia Tech;Virginia Tech,10.1109/vast.2011.6102449;10.1109/tvcg.2013.188;10.1109/vast.2012.6400559;10.1109/vast.2012.6400486;10.1109/infvis.1995.528686;10.1109/vast.2007.4389006;10.1109/vast.2007.4389032;10.1109/vast.2011.6102449,"Visual analytics, Semantic Interaction, Sensemaking, Text Analytics",86.0,47.0,35.0,722.0,,
VAST,2017,Supporting Handoff in Asynchronous Collaborative Sensemaking Using Knowledge-Transfer Graphs,10.1109/tvcg.2017.2745279,http://dx.doi.org/10.1109/TVCG.2017.2745279,340.0,350.0,J,"During asynchronous collaborative analysis, handoff of partial findings is challenging because externalizations produced by analysts may not adequately communicate their investigative process. To address this challenge, we developed techniques to automatically capture and help encode tacit aspects of the investigative process based on an analyst's interactions, and streamline explicit authoring of handoff annotations. We designed our techniques to mediate awareness of analysis coverage, support explicit communication of progress and uncertainty with annotation, and implicit communication through playback of investigation histories. To evaluate our techniques, we developed an interactive visual analysis system, KTGraph, that supports an asynchronous investigative document analysis task. We conducted a two-phase user study to characterize a set of handoff strategies and to compare investigative performance with and without our techniques. The results suggest that our techniques promote the use of more effective handoff strategies, help increase an awareness of prior investigative process and insights, as well as improve final investigative outcomes.",Jian Zhao 0010;Michael Glueck;Petra Isenberg;Fanny Chevalier;Azam Khan,Jian Zhao;Michael Glueck;Petra Isenberg;Fanny Chevalier;Azam Khan,FX Palo Alto Laboratory;Autodesk Research;Inria;Inria;Autodesk Research,10.1109/vast.2007.4389009;10.1109/vast.2011.6102447;10.1109/vast.2010.5652932;10.1109/vast.2006.261420;10.1109/vast.2007.4389011;10.1109/tvcg.2008.137;10.1109/tvcg.2007.70568;10.1109/vast.2009.5333020;10.1109/vast.2009.5333878;10.1109/vast.2011.6102438;10.1109/vast.2006.261415;10.1109/tvcg.2014.2346573;10.1109/tvcg.2015.2467551;10.1109/vast.2008.4677358;10.1109/tvcg.2016.2598466;10.1109/vast.2007.4389006;10.1109/tvcg.2007.70577;10.1109/tvcg.2007.70589;10.1109/tvcg.2016.2598543;10.1109/vast.2007.4389009,"Collaboration,sensemaking,handoff,handover,structured externalizations,interactive visual analysis",63.0,41.0,55.0,1372.0,HM,
VAST,2012,"Analyst's Workspace: An embodied sensemaking environment for large, high-resolution displays",10.1109/vast.2012.6400559,http://dx.doi.org/10.1109/VAST.2012.6400559,123.0,131.0,C,"Distributed cognition and embodiment provide compelling models for how humans think and interact with the environment. Our examination of the use of large, high-resolution displays from an embodied perspective has lead directly to the development of a new sensemaking environment called Analyst's Workspace (AW). AW leverages the embodied resources made more accessible through the physical nature of the display to create a spatial workspace. By combining spatial layout of documents and other artifacts with an entity-centric, explorative investigative approach, AW aims to allow the analyst to externalize elements of the sensemaking process as a part of the investigation, integrated into the visual representations of the data itself. In this paper, we describe the various capabilities of AW and discuss the key principles and concepts underlying its design, emphasizing unique design principles for designing visual analytic tools for large, high-resolution displays.",Christopher Andrews 0001;Chris North 0001,Christopher Andrews;Chris North,"Virginia Tech, Now at Mount Holyoke College;Virginia Tech",10.1109/tvcg.2008.121;10.1109/vast.2008.4677362;10.1109/infvis.2004.27;10.1109/vast.2008.4677358;10.1109/tvcg.2006.184;10.1109/vast.2007.4388992;10.1109/vast.2010.5652880;10.1109/vast.2011.6102449;10.1109/vast.2007.4389006;10.1109/vast.2011.6102438;10.1109/vast.2009.5333878;10.1109/vast.2011.6102495;10.1109/tvcg.2008.121,"Embodiment, distributed cognition, large and high-resolution display, sensemaking, space",73.0,39.0,52.0,598.0,,
VAST,2008,Entity-based collaboration tools for intelligence analysis,10.1109/vast.2008.4677362,http://dx.doi.org/10.1109/VAST.2008.4677362,99.0,106.0,C,"Software tools that make it easier for analysts to collaborate as a natural part of their work will lead to better analysis that is informed by more perspectives. We are interested to know if software tools can be designed that support collaboration even as they allow analysts to find documents and organize information (including evidence, schemas, and hypotheses). We have modified the Entity Workspace system, described previously, to test such designs. We have evaluated the resulting design in both a laboratory study and a study where it is situated with an analysis team. In both cases, effects on collaboration appear to be positive. Key aspects of the design include an evidence notebook optimized for organizing entities (rather than text characters), information structures that can be collapsed and expanded, visualization of evidence that emphasizes events and documents (rather than emphasizing the entity graph), and a notification system that finds entities of mutual interest to multiple analysts.",Eric A. Bier;Stuart K. Card;John W. Bodnar,Eric A. Bier;Stuart K. Card;John W. Bodnar,"Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA;Palo Alto Research Center, Inc.orporated, Palo Alto, CA, USA;Science Applications International Corporation, McLean, VA, USA",10.1109/vast.2006.261427;10.1109/vast.2007.4389006;10.1109/vast.2006.261427,"sensemaking, information foraging, collective intelligence, exploratory search, information workspace, entity-based, collaboration, intelligence analysis, visualization, semantic notebook, argumentation marshalling, visual analytics",61.0,35.0,17.0,787.0,BP,
Vis,2021,Untidy Data: The Unreasonable Effectiveness of Tables,10.1109/tvcg.2021.3114830,http://dx.doi.org/10.1109/TVCG.2021.3114830,686.0,696.0,J,"Working with data in table form is usually considered a preparatory and tedious step in the sensemaking pipeline; a way of getting the data ready for more sophisticated visualization and analytical tools. But for many people, spreadsheets — the quintessential table tool — remain a critical part of their information ecosystem, allowing them to interact with their data in ways that are hidden or abstracted in more complex tools. This is particularly true for <i>data workers</i> <xref ref-type=""bibr"" rid=""ref61"">[61]</xref>, people who work with data as part of their job but do not identify as professional analysts or data scientists. We report on a qualitative study of how these workers interact with and reason about their data. Our findings show that data tables serve a broader purpose beyond data cleanup at the initial stage of a linear analytic flow: users want to see and “get their hands on” the underlying data throughout the analytics process, reshaping and augmenting it to support sensemaking. They reorganize, mark up, layer on levels of detail, and spawn alternatives within the context of the base data. These direct interactions and human-readable table representations form a rich and cognitively important part of building understanding of what the data mean and what they can do with it. We argue that interactive tables are an important visualization idiom in their own right; that the direct data interaction they afford offers a fertile design space for visual analytics; and that sense making can be enriched by more flexible human-data interaction than is currently supported in visual analytics tools.",Lyn Bartram;Michael Correll;Melanie Tory,Lyn Bartram;Michael Correll;Melanie Tory,"Simon Fraser University, Canada;Tableau, United States;Roux Institute, United States",10.1109/vast.2014.7042493;10.1109/tvcg.2018.2865040;10.1109/infvis.1997.636761;10.1109/tvcg.2014.2346292;10.1109/tvcg.2012.219;10.1109/tvcg.2020.3030462;10.1109/tvcg.2020.3030360;10.1109/tvcg.2014.2346248;10.1109/tvcg.2011.250;10.1109/tvcg.2019.2934593;10.1109/tvcg.2014.2346279;10.1109/tvcg.2018.2864836;10.1109/vast.2014.7042493,"Data practices,Tabular data,Interview study,Visualization,Analytics,Data workers,Sensemaking",14.0,29.0,90.0,2154.0,,
VAST,2015,SensePath: Understanding the Sensemaking Process Through Analytic Provenance,10.1109/tvcg.2015.2467611,http://dx.doi.org/10.1109/TVCG.2015.2467611,41.0,50.0,J,"Sensemaking is described as the process of comprehension, finding meaning and gaining insight from information, producing new knowledge and informing further action. Understanding the sensemaking process allows building effective visual analytics tools to make sense of large and complex datasets. Currently, it is often a manual and time-consuming undertaking to comprehend this: researchers collect observation data, transcribe screen capture videos and think-aloud recordings, identify recurring patterns, and eventually abstract the sensemaking process into a general model. In this paper, we propose a general approach to facilitate such a qualitative analysis process, and introduce a prototype, SensePath, to demonstrate the application of this approach with a focus on browser-based online sensemaking. The approach is based on a study of a number of qualitative research sessions including observations of users performing sensemaking tasks and post hoc analyses to uncover their sensemaking processes. Based on the study results and a follow-up participatory design session with HCI researchers, we decided to focus on the transcription and coding stages of thematic analysis. SensePath automatically captures user's sensemaking actions, i.e., analytic provenance, and provides multi-linked views to support their further analysis. A number of other requirements elicited from the design session are also implemented in SensePath, such as easy integration with existing qualitative analysis workflow and non-intrusive for participants. The tool was used by an experienced HCI researcher to analyze two sensemaking sessions. The researcher found the tool intuitive and considerably reduced analysis time, allowing better understanding of the sensemaking process.",Phong Hai Nguyen;Kai Xu 0003;Ashley Wheat;B. L. William Wong;Simon Attfield;Bob Fields,Phong H. Nguyen;Kai Xu;Ashley Wheat;B.L. William Wong;Simon Attfield;Bob Fields,Middlesex University;Middlesex University;Middlesex University;Middlesex University;Middlesex University;Middlesex University,10.1109/visual.2005.1532788;10.1109/tvcg.2011.185;10.1109/tvcg.2014.2346575;10.1109/vast.2008.4677365;10.1109/tvcg.2008.137;10.1109/vast.2009.5333020;10.1109/tvcg.2013.132,"Sensemaking, analytic provenance, transcription, coding, qualitative research, timeline visualization",,29.0,42.0,1425.0,,
