Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
InfoVis,1995,Towards a generative theory of diagram design,10.1109/infvis.1995.528681,http://dx.doi.org/10.1109/INFVIS.1995.528681,11.0,18.0,C,"We describe the theoretical background for AVE, an automatic visualization engine for semantic networks. We have a functional notion of aesthetics and therefore understand meaningfulness as a central issue for information visualization. This implies that the diagrams should communicate the characteristics of the data as effectively as possible. In this generative theory of diagram design, we include data characterization, systematic use of graphical means of expression and the combination of graphical means of expression. After giving a brief introduction and an application scenario we discuss these aspects in detail. Finally, a process model of an automatic visualization process is sketched and directions for further research are outlined.",Klaus Reichenberger;Thomas Kamps;Gene Golovchinsky,K. Reichenberger;T. Kamps;G. Golovchinsky,"Information Systems, GMD-Institute for Integrated Publication, Darmstadt, Germany;Information Systems, GMD-Institute for Integrated Publication, Darmstadt, Germany;Department of Industrial Engiheering, University of Toronto, Toronto, ONT, Canada",10.1109/visual.1995.480815;10.1109/visual.1995.480815,,22.0,5.0,18.0,133.0,,
Vis,1995,Subverting structure: data-driven diagram generation,10.1109/visual.1995.480815,http://dx.doi.org/10.1109/VISUAL.1995.480815,217.0,,C,"Diagrams are data representations that convey information predominantly through combinations of graphical elements rather than through other channels such as text or interaction. We have implemented a prototype called AVE (Automatic Visualization Environment) that generates diagrams automatically based on a generative theory of diagram design. According to this theory, diagrams are constructed based on the data to be visualized rather than by selection from a predefined set of diagrams. This approach can be applied to knowledge represented by semantic networks. We give a brief introduction to the underlying theory, then describe the implementation and finally discuss strategies for extending the algorithm.",Gene Golovchinsky;Klaus Reichenberger;Thomas Kamps,G. Golovchinsky;T. Kamps;K. Reichenberger,"Department of Industrial Engineering, University of Toronto, Toronto, ONT, Canada;PaVE Department, GMD, Darmstadt, Germany;PaVE Department, GMD, Darmstadt, Germany",10.1109/infvis.1995.528681;10.1109/infvis.1995.528681,,21.0,2.0,11.0,66.0,,
Vis,2004,Non-linear model fitting to parameterize diseased blood vessels,10.1109/visual.2004.72,http://dx.doi.org/10.1109/VISUAL.2004.72,393.0,400.0,C,"Accurate estimation of vessel parameters is a prerequisite for automated visualization and analysis of healthy and diseased blood vessels. The objective of this research is to estimate the dimensions of lower extremity arteries, imaged by computed tomography (CT). These parameters are required to get a good quality visualization of healthy as well as diseased arteries using a visualization technique such as curved planar reformation (CPR). The vessel is modeled using an elliptical or cylindrical structure with specific dimensions, orientation and blood vessel mean density. The model separates two homogeneous regions: its inner side represents a region of density for vessels, and its outer side a region for background. Taking into account the point spread function (PSF) of a CT scanner, a function is modeled with a Gaussian kernel, in order to smooth the vessel boundary in the model. A new strategy for vessel parameter estimation is presented. It stems from vessel model and model parameter optimization by a nonlinear optimization procedure, i.e., the Levenberg-Marquardt technique. The method provides center location, diameter and orientation of the vessel as well as blood and background mean density values. The method is tested on synthetic data and real patient data with encouraging results.",Alexandra La Cruz;Matús Straka;Arnold Köchl;Milos Srámek;M. Eduard Gröller;Dominik Fleischmann,A. La Cruz;M. Straka;A. Kochl;M. Sramek;E. Groller;D. Fleischmann,"University of Technology, Vienna, Austria;Austrian Academy of Sciences, Austria;Vienna University of Medicine, Austria;Austrian Academy of Sciences, Austria;University of Technology, Vienna, Austria;Stanford University Medical Center, USA",10.1109/visual.2001.964555,"Visualization, Segmentation, Blood Vessel Detection",29.0,5.0,11.0,141.0,,
Vis,2004,Context-Adaptive Mobile Visualization and Information Management,10.1109/visual.2004.19,http://dx.doi.org/10.1109/VISUAL.2004.19,8.0,8.0,M,"This poster abstract presents a scalable information visualization system for mobile devices and desktop systems. It is designed to support the operation and the workflow of wastewater systems. The regarded information data includes general information about buildings and units, process data, occupational safety regulations, work directions and first aid instructions in case of an accident. Technically, the presented framework combines visualization with agent technology in order to automatically scale various visualization types to fit on different platforms like PDAs (Personal Digital Assistants) or Tablet PCs. The implementation is based on but not limited to SQL, JSP, HTML and VRML.",Jochen Ehret;Achim Ebert;Lars Schuchardt;Heidrun Steinmetz;Hans Hagen,J. Ehret;A. Ebert;L. Schuchardt;H. Steinmetz;H. Hagen,"Intelligent Visualization and Simulation, German Research Center for Artificial Intelligence, Kaiserslautern, Germany;Intelligent Visualization and Simulation, German Research Center for Artificial Intelligence, Kaiserslautern, Germany;Institute of Environmental Engineering, Technical University of Kaiserslautern, Germany;Center for Innovative WasteWater Technology (tectraa), Technical University of Kaiserslautern, Germany;Intelligent Visualization and Simulation, German Research Center for Artificial Intelligence, Kaiserslautern, Germany",,,11.0,2.0,4.0,172.0,,
VAST,2006,Collaborative Visual Analytics: Inferring from the Spatial Organization and Collaborative Use of Information,10.1109/vast.2006.261415,http://dx.doi.org/10.1109/VAST.2006.261415,137.0,144.0,C,"We introduce a visual analytics environment for the support of remote-collaborative sense-making activities. Team members use their individual graphical interfaces to collect, organize and comprehend task-relevant information relative to their areas of expertise. A system of computational agents infers possible relationships among information items through the analysis of the spatial and temporal organization and collaborative use of information. The computational agents support the exchange of information among team members to converge their individual contributions. Our system allows users to navigate vast amounts of shared information effectively and remotely dispersed team members to work independently without diverting from common objectives as well as to minimize the necessary amount of verbal communication",Paul E. Keel,Paul E. Keel,"Computer Science and Artifificial Intelligence Laboratory, Massachusetts Institute of Technology, UK",,"Visual analytics, Spatial information organization,Indirect human computer interaction,Indirect collaboration, Agents,Sense-making",22.0,24.0,23.0,472.0,,
Vis,2007,Interactive Visual Analysis of Perfusion Data,10.1109/tvcg.2007.70569,http://dx.doi.org/10.1109/TVCG.2007.70569,1392.0,1399.0,J,"Perfusion data are dynamic medical image data which characterize the regional blood flow in human tissue. These data bear a great potential in medical diagnosis, since diseases can be better distinguished and detected at an earlier stage compared to static image data. The wide-spread use of perfusion data is hampered by the lack of efficient evaluation methods. For each voxel, a time-intensity curve characterizes the enhancement of a contrast agent. Parameters derived from these curves characterize the perfusion and have to be integrated for diagnosis. The diagnostic evaluation of this multi-field data is challenging and time-consuming due to its complexity. For the visual analysis of such datasets, feature-based approaches allow to reduce the amount of data and direct the user to suspicious areas. We present an interactive visual analysis approach for the evaluation of perfusion data. For this purpose, we integrate statistical methods and interactive feature specification. Correlation analysis and Principal Component Analysis (PCA) are applied for dimension reduction and to achieve a better understanding of the inter-parameter relations. Multiple, linked views facilitate the definition of features by brushing multiple dimensions. The specification result is linked to all views establishing a focus+context style of visualization in 3D. We discuss our approach with respect to clinical datasets from the three major application areas: ischemic stroke diagnosis, breast tumor diagnosis, as well as the diagnosis of the coronary heart disease (CHD). It turns out that the significance of perfusion parameters strongly depends on the individual patient, scanning parameters, and data pre-processing.",Steffen Oeltze;Helmut Doleisch;Helwig Hauser;Philipp Muigg;Bernhard Preim,Steffen Oeltze;Helmut Doleisch;Helwig Hauser;Philipp Muigg;Bernhard Preim,"Department of Simulation and Graphics, University of Magdeburg, Magdeburg, Germany;VRVis Research Center, Vienna, Austria;Department of Informatics, University of Bergen, Bergen, Norway;VRVis Research Center, Vienna, Austria;Department of Simulation and Graphics, University of Magdeburg, Magdeburg, Germany",10.1109/visual.2000.885739;10.1109/visual.2005.1532847;10.1109/visual.2000.885739,"Multi-field Visualization, Visual Data Mining, Time-varying Volume Data, Integrating InfoVis/SciVis",100.0,44.0,28.0,666.0,,
InfoVis,2008,Multi-Focused Geospatial Analysis Using Probes,10.1109/tvcg.2008.149,http://dx.doi.org/10.1109/TVCG.2008.149,1165.0,1172.0,J,"Traditional geospatial information visualizations often present views that restrict the user to a single perspective. When zoomed out, local trends and anomalies become suppressed and lost; when zoomed in for local inspection, spatial awareness and comparison between regions become limited. In our model, coordinated visualizations are integrated within individual probe interfaces, which depict the local data in user-defined regions-of-interest. Our probe concept can be incorporated into a variety of geospatial visualizations to empower users with the ability to observe, coordinate, and compare data across multiple local regions. It is especially useful when dealing with complex simulations or analyses where behavior in various localities differs from other localities and from the system as a whole. We illustrate the effectiveness of our technique over traditional interfaces by incorporating it within three existing geospatial visualization systems: an agent-based social simulation, a census data exploration tool, and an 3D GIS environment for analyzing urban change over time. In each case, the probe-based interaction enhances spatial awareness, improves inspection and comparison capabilities, expands the range of scopes, and facilitates collaboration among multiple users.",Thomas Butkiewicz;Wenwen Dou;Zachary Wartell;William Ribarsky;Remco Chang,Thomas Butkiewicz;Wenwen Dou;Zachary Wartell;William Ribarsky;Remco Chang,"UNC Charlotte, The Charlotte Visualization Center;UNC Charlotte, The Charlotte Visualization Center;UNC Charlotte, The Charlotte Visualization Center;UNC Charlotte, The Charlotte Visualization Center;UNC Charlotte, The Charlotte Visualization Center",10.1109/infvis.2000.885102;10.1109/tvcg.2007.70574;10.1109/infvis.2000.885102,"Multiple-view techniques, geospatial visualization, geospatial analysis, focus + context, probes",73.0,34.0,20.0,648.0,,
VAST,2009,Articulate: a conversational interface for visual analytics,10.1109/vast.2009.5333099,http://dx.doi.org/10.1109/VAST.2009.5333099,233.0,234.0,M,"While many visualization tools exist that offer sophisticated functions for charting complex data, they still expect users to possess a high degree of expertise in wielding the tools to create an effective visualization. This poster presents Articulate, an attempt at a semi-automated visual analytic model that is guided by a conversational user interface. The goal is to relieve the user of the physical burden of having to directly craft a visualization through the manipulation of a complex user-interface, by instead being able to verbally articulate what the user wants to see, and then using natural language processing and heuristics to semi-automatically create a suitable visualization.",Yiwen Sun;Jason Leigh;Andrew E. Johnson 0001;Dennis Chau,Yiwen Sun;Jason Leigh;Andrew Johnson;Dennis Chau,"Electronic Visualization Laboratory, University of Illinois, Chicago, USA;Electronic Visualization Laboratory, University of Illinois, Chicago, USA;Electronic Visualization Laboratory, University of Illinois, Chicago, USA;Electronic Visualization Laboratory, University of Illinois, Chicago, USA",0.1109/tvcg.2007.70594;10.1109/tvcg.2006.148,,3.0,2.0,9.0,267.0,,
VAST,2010,ALIDA: Using machine learning for intent discernment in visual analytics interfaces,10.1109/vast.2010.5650854,http://dx.doi.org/10.1109/VAST.2010.5650854,223.0,224.0,M,"In this paper, we introduce ALIDA, an Active Learning Intent Discerning Agent for visual analytics interfaces. As users interact with and explore data in a visual analytics environment they are each developing their own unique analytic process. The goal of ALIDA is to observe and record the human-computer interactions and utilize these observations as a means of supporting user exploration; ALIDA does this by using interaction to make decision about user interest. As such, ALIDA is designed to track the decision history (interactions) of a user. This history is then utilized to enhance the user's decision-making process by allowing the user to return to previously visited search states, as well as providing suggestions of other search states that may be of interest based on past exploration modalities. The agent passes these suggestions (or decisions) back to an interactive visualization prototype, and these suggestions are used to guide the user, either by suggesting searches or changes to the visualization view. Current work has tested ALIDA under the exploration of homonyms for users wishing to explore word linkages within a dictionary. Ongoing work includes using ALIDA to guide users in transfer function design for volume rendering within scientific gateways.",Tera Marie Green;Ross Maciejewski;Steve DiPaola,Tera Marie Green;Ross Maciejewski;Steve DiPaola,"School of Interactive Arts Technology, Simon Fraser University, Canada;Purdue Visual Analytics Center, Purdue University, USA;School of Interactive Arts Technology, Simon Fraser University, Canada",,"artificial intelligence, cognition, intent discernment, volume rendering",4.0,3.0,6.0,391.0,,
Vis,2011,"Interactive, Graph-based Visual Analysis of High-dimensional, Multi-parameter Fluorescence Microscopy Data in Toponomics",10.1109/tvcg.2011.217,http://dx.doi.org/10.1109/TVCG.2011.217,1882.0,1891.0,J,"In Toponomics, the function protein pattern in cells or tissue (the toponome) is imaged and analyzed for applications in toxicology, new drug development and patient-drug-interaction. The most advanced imaging technique is robot-driven multi-parameter fluorescence microscopy. This technique is capable of co-mapping hundreds of proteins and their distribution and assembly in protein clusters across a cell or tissue sample by running cycles of fluorescence tagging with monoclonal antibodies or other affinity reagents, imaging, and bleaching in situ. The imaging results in complex multi-parameter data composed of one slice or a 3D volume per affinity reagent. Biologists are particularly interested in the localization of co-occurring proteins, the frequency of co-occurrence and the distribution of co-occurring proteins across the cell. We present an interactive visual analysis approach for the evaluation of multi-parameter fluorescence microscopy data in toponomics. Multiple, linked views facilitate the definition of features by brushing multiple dimensions. The feature specification result is linked to all views establishing a focus+context visualization in 3D. In a new attribute view, we integrate techniques from graph visualization. Each node in the graph represents an affinity reagent while each edge represents two co-occurring affinity reagent bindings. The graph visualization is enhanced by glyphs which encode specific properties of the binding. The graph view is equipped with brushing facilities. By brushing in the spatial and attribute domain, the biologist achieves a better understanding of the function protein patterns of a cell. Furthermore, an interactive table view is integrated which summarizes unique fluorescence patterns. We discuss our approach with respect to a cell probe containing lymphocytes and a prostate tissue section.",Steffen Oeltze;Wolfgang Freiler;Reyk Hillert;Helmut Doleisch;Bernhard Preim;Walter Schubert,Steffen Oeltze;Wolfgang Freiler;Reyk Hillert;Helmut Doleisch;Bernhard Preim;Walter Schubert,"University of Magdeburg, Germany;SimVis GmbH, Vienna, Austria;University of Magdeburg, Germany;SimVis GmbH, Vienna, Austria;University of Magdeburg, Germany;University of Magdeburg, Germany",10.1109/vast.2009.5333911;10.1109/tvcg.2006.195;10.1109/tvcg.2006.147;10.1109/tvcg.2007.70569;10.1109/tvcg.2009.167;10.1109/vast.2009.5333911,"Visual Analytics, Fluorescence Microscopy, Toponomics, Protein Interaction, Graph Visualization",22.0,9.0,38.0,780.0,,
